transaction_id,customer_id,product_id,payment_method,device_id,amount,is_fraud,time_since_last_transaction,transactions_past_1hr,timestamp_hour,timestamp_day,timestamp_weekday,prev_timestamp_hour,prev_timestamp_day,prev_timestamp_weekday
798,1,30,,,30.655701537550993,False,-1.0,1750107152000000000,21,16,0,,,
945,1,8,,,68.35652043937542,False,30240.0,1750137392000000000,6,17,1,21.0,16.0,0.0
922,1,22,,,39.89029443078944,False,2760.0,1750140152000000000,7,17,1,6.0,17.0,1.0
530,1,16,,,19.258326838622725,False,15240.0,1750155392000000000,11,17,1,7.0,17.0,1.0
731,1,40,,,73.0958907807419,False,7680.0,1750163072000000000,13,17,1,11.0,17.0,1.0
483,1,35,,,41.697394649577966,False,780.0,1750163852000000000,13,17,1,13.0,17.0,1.0
698,1,41,,,25.604416225332017,False,3180.0,1750167032000000000,14,17,1,13.0,17.0,1.0
488,1,34,,,100.38166551134805,False,25200.0,1750192232000000000,21,17,1,14.0,17.0,1.0
481,1,20,,,35.92267761399298,False,840.0,1750193072000000000,21,17,1,21.0,17.0,1.0
819,1,17,,,106.19610712043122,False,8580.0,1750201652000000000,0,18,2,21.0,17.0,1.0
272,1,49,,,32.581285145476905,False,180.0,1750201832000000000,0,18,2,0.0,18.0,2.0
228,1,14,,,83.44731220180182,False,7920.0,1750209752000000000,2,18,2,0.0,18.0,2.0
190,1,27,,,14.616136096287764,False,6840.0,1750216592000000000,4,18,2,2.0,18.0,2.0
288,1,40,,,39.29442782007474,False,16920.0,1750233512000000000,8,18,2,4.0,18.0,2.0
110,1,5,,,48.64586514200327,False,4080.0,1750237592000000000,10,18,2,8.0,18.0,2.0
144,1,8,,,69.47264172717713,False,4560.0,1750242152000000000,11,18,2,10.0,18.0,2.0
563,2,30,,,89.36461896322147,False,-1.0,1750183232000000000,19,17,1,,,
536,2,12,,,41.062017092884275,False,3240.0,1750186472000000000,19,17,1,19.0,17.0,1.0
959,2,33,,,69.24035609805931,False,6780.0,1750193252000000000,21,17,1,19.0,17.0,1.0
399,2,10,,,82.28361558782329,False,9660.0,1750202912000000000,0,18,2,21.0,17.0,1.0
222,2,42,,,36.59752875604849,False,7920.0,1750210832000000000,2,18,2,0.0,18.0,2.0
221,2,8,,,49.328878547315924,False,180.0,1750211012000000000,2,18,2,2.0,18.0,2.0
216,2,36,,,53.1670941248993,False,900.0,1750211912000000000,2,18,2,2.0,18.0,2.0
287,2,28,,,91.4040961235478,False,4440.0,1750216352000000000,4,18,2,2.0,18.0,2.0
230,2,41,,,40.31202665587759,False,6840.0,1750223192000000000,6,18,2,4.0,18.0,2.0
71,2,13,,,82.51858871522901,False,19080.0,1750242272000000000,11,18,2,6.0,18.0,2.0
57,2,37,,,53.42407703168146,False,1680.0,1750243952000000000,11,18,2,11.0,18.0,2.0
15,2,24,,,33.832590115824175,False,5040.0,1750248992000000000,13,18,2,11.0,18.0,2.0
19,2,40,,,37.36566866266099,False,660.0,1750249652000000000,13,18,2,13.0,18.0,2.0
835,3,33,,,67.54016325347253,False,-1.0,1750100492000000000,20,16,0,,,
699,3,3,,,64.12258267277247,False,24480.0,1750124972000000000,2,17,1,20.0,16.0,0.0
733,3,32,,,72.96126199138774,False,37860.0,1750162832000000000,13,17,1,2.0,17.0,1.0
965,3,33,,,25.20733709376555,False,30060.0,1750192892000000000,21,17,1,13.0,17.0,1.0
807,3,37,,,80.48042256700776,False,9480.0,1750202372000000000,0,18,2,21.0,17.0,1.0
217,3,48,,,100.663617771429,False,9360.0,1750211732000000000,2,18,2,0.0,18.0,2.0
256,3,38,,,56.935173521184154,False,8340.0,1750220072000000000,5,18,2,2.0,18.0,2.0
194,3,10,,,32.88616405424916,False,7440.0,1750227512000000000,7,18,2,5.0,18.0,2.0
299,3,29,,,27.561809390602157,False,5340.0,1750232852000000000,8,18,2,7.0,18.0,2.0
143,3,7,,,28.184467311202365,False,9360.0,1750242212000000000,11,18,2,8.0,18.0,2.0
43,3,6,,,30.74933461936228,False,3420.0,1750245632000000000,12,18,2,11.0,18.0,2.0
12,3,11,,,44.40124099735098,False,3000.0,1750248632000000000,13,18,2,12.0,18.0,2.0
899,4,15,,,144.11458585226666,False,-1.0,1750088972000000000,16,16,0,,,
876,4,19,,,23.70534074302163,False,56700.0,1750145672000000000,8,17,1,16.0,16.0,0.0
675,4,49,,,59.056019736316166,False,24120.0,1750169792000000000,15,17,1,8.0,17.0,1.0
900,4,27,,,35.19269249259694,False,27000.0,1750196792000000000,22,17,1,15.0,17.0,1.0
823,4,26,,,136.29342534037738,False,4620.0,1750201412000000000,0,18,2,22.0,17.0,1.0
358,4,21,,,145.66268839504903,False,6420.0,1750207832000000000,1,18,2,0.0,18.0,2.0
532,4,8,,,47.288930484620856,False,11040.0,1750218872000000000,4,18,2,1.0,18.0,2.0
160,4,4,,,67.35972216023198,False,3120.0,1750221992000000000,5,18,2,4.0,18.0,2.0
50,4,49,,,71.93321633126048,False,19800.0,1750241792000000000,11,18,2,5.0,18.0,2.0
74,4,20,,,130.94690714798514,False,4560.0,1750246352000000000,12,18,2,11.0,18.0,2.0
70,4,2,,,51.124493241347906,False,240.0,1750246592000000000,12,18,2,12.0,18.0,2.0
923,5,2,,,47.27495029010082,False,-1.0,1750084652000000000,15,16,0,,,
874,5,20,,,54.94043843868962,False,8820.0,1750093472000000000,18,16,0,15.0,16.0,0.0
663,5,10,,,55.54649989184496,False,37980.0,1750131452000000000,4,17,1,18.0,16.0,0.0
643,5,4,,,43.139440612857136,False,3600.0,1750135052000000000,5,17,1,4.0,17.0,1.0
914,5,7,,,35.48636239802944,False,6060.0,1750141112000000000,7,17,1,5.0,17.0,1.0
840,5,11,,,37.10197777028424,False,8880.0,1750149992000000000,9,17,1,7.0,17.0,1.0
455,5,21,,,83.3108660623827,False,18900.0,1750168892000000000,15,17,1,9.0,17.0,1.0
806,5,30,,,28.25962309240288,False,33540.0,1750202432000000000,0,18,2,15.0,17.0,1.0
779,5,12,,,69.06320457728731,False,1620.0,1750204052000000000,0,18,2,0.0,18.0,2.0
145,5,42,,,71.78190312618095,False,20640.0,1750224692000000000,6,18,2,0.0,18.0,2.0
120,5,40,,,44.989749507722095,False,11700.0,1750236392000000000,9,18,2,6.0,18.0,2.0
886,6,24,,,75.13827511916236,False,-1.0,1750144472000000000,8,17,1,,,
770,6,30,,,87.86265751871309,False,13920.0,1750158392000000000,12,17,1,8.0,17.0,1.0
708,6,9,,,37.84441838271163,False,7440.0,1750165832000000000,14,17,1,12.0,17.0,1.0
368,6,21,,,147.45610759225397,False,18720.0,1750184552000000000,19,17,1,14.0,17.0,1.0
997,6,8,,,27.723384101217466,False,6420.0,1750190972000000000,21,17,1,19.0,17.0,1.0
801,6,41,,,59.087934226221044,False,11760.0,1750202732000000000,0,18,2,21.0,17.0,1.0
178,6,29,,,183.70996617015854,False,16020.0,1750218752000000000,4,18,2,0.0,18.0,2.0
457,6,46,,,27.042374903737006,False,4620.0,1750223372000000000,6,18,2,4.0,18.0,2.0
72,6,40,,,43.886988269745196,False,23100.0,1750246472000000000,12,18,2,6.0,18.0,2.0
654,7,34,,,99.49733649078458,False,-1.0,1750133072000000000,5,17,1,,,
416,7,46,,,29.916183025930092,False,42840.0,1750175912000000000,16,17,1,5.0,17.0,1.0
574,7,44,,,89.86290716608876,False,6000.0,1750181912000000000,18,17,1,16.0,17.0,1.0
964,7,2,,,86.21858957078577,False,11040.0,1750192952000000000,21,17,1,18.0,17.0,1.0
331,7,32,,,28.329124317422206,False,37980.0,1750230932000000000,8,18,2,21.0,17.0,1.0
283,7,41,,,85.72449324196134,False,2880.0,1750233812000000000,9,18,2,8.0,18.0,2.0
123,7,40,,,20.90865988885712,False,9600.0,1750243412000000000,11,18,2,9.0,18.0,2.0
45,7,4,,,117.79737167440123,False,4680.0,1750248092000000000,13,18,2,11.0,18.0,2.0
750,8,48,,,49.54421157190979,False,-1.0,1750115792000000000,0,17,1,,,
746,8,16,,,46.972866497035476,False,720.0,1750116512000000000,0,17,1,0.0,17.0,1.0
668,8,49,,,56.232344192693986,False,14040.0,1750130552000000000,4,17,1,0.0,17.0,1.0
946,8,11,,,154.93776571387997,False,6720.0,1750137272000000000,6,17,1,4.0,17.0,1.0
898,8,8,,,76.15025377065714,False,5760.0,1750143032000000000,7,17,1,6.0,17.0,1.0
568,8,39,,,84.60754070466524,False,5520.0,1750148552000000000,9,17,1,7.0,17.0,1.0
452,8,45,,,66.47983370453879,False,20880.0,1750169432000000000,15,17,1,9.0,17.0,1.0
422,8,23,,,43.46428586426283,False,5400.0,1750174832000000000,16,17,1,15.0,17.0,1.0
344,8,28,,,36.26255503134007,False,14040.0,1750188872000000000,20,17,1,16.0,17.0,1.0
992,8,39,,,68.65431994954771,False,2400.0,1750191272000000000,21,17,1,20.0,17.0,1.0
330,8,28,,,93.77359974981954,False,19920.0,1750211192000000000,2,18,2,21.0,17.0,1.0
116,8,45,,,147.85878702882715,False,25680.0,1750236872000000000,9,18,2,2.0,18.0,2.0
111,8,19,,,112.91443637390464,False,600.0,1750237472000000000,10,18,2,9.0,18.0,2.0
63,8,33,,,46.19914930054418,False,5760.0,1750243232000000000,11,18,2,10.0,18.0,2.0
650,9,46,,,25.542071675741912,False,-1.0,1750133792000000000,5,17,1,,,
659,9,20,,,44.9584896761332,False,37920.0,1750171712000000000,15,17,1,5.0,17.0,1.0
479,9,36,,,31.54290669155006,False,21600.0,1750193312000000000,21,17,1,15.0,17.0,1.0
403,9,32,,,49.48980596603391,False,9120.0,1750202432000000000,0,18,2,21.0,17.0,1.0
618,9,10,,,23.868420849680803,False,11280.0,1750213712000000000,3,18,2,0.0,18.0,2.0
149,9,33,,,64.32444705900765,False,10260.0,1750223972000000000,6,18,2,3.0,18.0,2.0
198,9,8,,,34.89441678203523,False,3060.0,1750227032000000000,7,18,2,6.0,18.0,2.0
294,9,30,,,30.3319829033392,False,6120.0,1750233152000000000,8,18,2,7.0,18.0,2.0
108,9,21,,,63.555230390839306,False,11160.0,1750244312000000000,11,18,2,8.0,18.0,2.0
54,9,26,,,92.17222642136566,False,0.0,1750244312000000000,11,18,2,11.0,18.0,2.0
776,10,14,,,51.95889108551241,False,-1.0,1750111112000000000,22,16,0,,,
987,10,3,,,56.74560725168157,False,21240.0,1750132352000000000,4,17,1,22.0,16.0,0.0
521,10,16,,,109.3079238728581,False,24660.0,1750157012000000000,11,17,1,4.0,17.0,1.0
583,10,44,,,24.161570573678787,False,23820.0,1750180832000000000,18,17,1,11.0,17.0,1.0
877,10,5,,,92.69960995353165,False,17340.0,1750198172000000000,23,17,1,18.0,17.0,1.0
526,10,21,,,80.1663305636639,False,21060.0,1750219232000000000,5,18,2,23.0,17.0,1.0
785,11,27,,,45.39474728458473,False,-1.0,1750203692000000000,0,18,2,,,
